                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.62448,                0.51291,                 1.1905,                0.82326,                0.86416,                0.90992,                0.67752,                0.84765,                0.51986,                 1.4368,              0.0006634,              0.0006634,              0.0006634
                     36,                 0.6203,                0.51705,                 1.1809,                 0.8477,                0.81585,                0.85787,                0.63693,                0.78466,                0.59693,                 1.3481,              0.0006535,              0.0006535,              0.0006535
                     37,                0.61079,                0.50291,                 1.1831,                 0.8765,                0.83263,                0.91641,                0.64083,                 0.9018,                0.54705,                 1.5112,              0.0006436,              0.0006436,              0.0006436
                     38,                0.62026,                0.50731,                 1.1848,                0.81818,                0.72287,                0.80979,                0.51015,                 1.1237,                0.71388,                 1.6728,              0.0006337,              0.0006337,              0.0006337
                     39,                0.60809,                0.50338,                 1.1741,                0.87309,                0.87363,                0.93791,                0.69839,                0.78014,                0.50105,                 1.3607,              0.0006238,              0.0006238,              0.0006238
                     40,                0.62566,                0.50757,                 1.1915,                0.82241,                0.84187,                0.90946,                0.67301,                0.86139,                0.49829,                 1.4185,              0.0006139,              0.0006139,              0.0006139
                     41,                0.60441,                0.50263,                 1.1742,                0.82107,                0.87058,                0.92831,                0.66207,                0.90212,                  0.525,                 1.4871,               0.000604,               0.000604,               0.000604
                     42,                 0.6067,                0.48763,                 1.1746,                0.90039,                0.87615,                0.94034,                0.64703,                 1.0132,                0.53375,                 1.6366,              0.0005941,              0.0005941,              0.0005941
                     43,                0.61188,                0.50366,                 1.1821,                0.85502,                0.88023,                0.94366,                0.69814,                0.85932,                0.46531,                 1.4374,              0.0005842,              0.0005842,              0.0005842
                     44,                0.58759,                 0.4903,                 1.1658,                 0.8884,                0.91647,                0.95031,                 0.6934,                0.83794,                0.49272,                 1.4246,              0.0005743,              0.0005743,              0.0005743
                     45,                0.59998,                0.49846,                 1.1698,                0.85992,                0.89728,                0.92626,                 0.6838,                0.79436,                 0.4573,                 1.3735,              0.0005644,              0.0005644,              0.0005644
                     46,                0.58719,                0.46983,                 1.1643,                0.85111,                0.89414,                 0.9007,                0.67412,                0.80608,                0.45094,                 1.3685,              0.0005545,              0.0005545,              0.0005545
                     47,                0.59088,                0.47056,                 1.1622,                0.84563,                0.78468,                0.85356,                0.60088,                0.95979,                0.59924,                 1.5432,              0.0005446,              0.0005446,              0.0005446
                     48,                0.59077,                0.46913,                 1.1639,                0.83575,                0.84233,                0.89669,                0.69304,                0.76833,                0.49256,                 1.3376,              0.0005347,              0.0005347,              0.0005347
                     49,                 0.5856,                0.46358,                 1.1616,                0.84008,                 0.9223,                0.91556,                0.66584,                0.92096,                0.51065,                 1.5168,              0.0005248,              0.0005248,              0.0005248
                     50,                0.57583,                  0.456,                 1.1557,                 0.7874,                 0.8575,                0.88157,                0.64892,                0.88601,                0.52323,                 1.4644,              0.0005149,              0.0005149,              0.0005149
                     51,                0.56777,                0.44547,                 1.1462,                0.86087,                0.88393,                0.92094,                0.67376,                0.87601,                0.48623,                 1.4723,               0.000505,               0.000505,               0.000505
                     52,                0.57731,                0.46863,                 1.1532,                 0.8573,                0.89061,                0.93192,                0.67827,                0.88818,                0.48412,                  1.489,              0.0004951,              0.0004951,              0.0004951
                     53,                0.57502,                0.46051,                 1.1533,                0.85166,                 0.8828,                0.92105,                0.69388,                0.80147,                0.46685,                 1.3896,              0.0004852,              0.0004852,              0.0004852
